natureza_juridica_codigo	natureza_juridica_descricao	natureza_juridica_escopo	imposto_importacao	imposto_exportacao	ipi	irpf	irpj	irrf	iof	itr	cofins	pis_pasep	csll	cide_combustiveis	contribuicao_previdenciaria	cpsss	pagamento_unificado	outras_receitas_rfb	demais_receitas
3212	Fundação ou Associação Domiciliada no Exterior	as fundações e associações domiciliadas no exterior que possuam imóveis. aeronaves e demais bens sujeitos a registro de propriedade ou posse perante órgãos públicos localizados ou utilizados no Brasil	0.00	0.00	0.00	0.00	31524891.74	64934769.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	397.37	269649.85	976607.52
3220	Organização Religiosa	as organizações religiosas. Base legal: artigo 2º da Lei n.º 10.825. de 22/12/2003	44501.38	0.00	32400.73	96.47	1095015.76	418324947.74	603.54	76107.88	6722096.08	17576708.52	451412.20	14117.47	637065979.00	0.00	17485513.53	6493084.80	15197247.80
3247	Fundo Privado	os fundos garantidores de parcerias público-privadas (FGP) da União. dos Estados. do Distrito Federal ou dos Municípios. previstos na Lei n. º 11.079. de 30/12/2004; os fundos de avais privados; os fundos patrimoniais criados pela Lei nº 13.800. de 14/01/2019	0.00	0.00	0.00	0.00	95927.83	3582.47	0.00	0.00	19060.64	2950.64	79330.20	0.00	0.00	0.00	11791.44	0.00	0.00
3255	Órgão de Direção Nacional de Partido Político	os órgãos de direção nacional de partido político. qualquer que seja o nome conferido pelo estatuto partidário (comissão provisória. diretório. comitê etc.). com abrangência no território nacional	0.00	0.00	0.00	0.00	299546.89	11966106.61	0.00	0.00	262413.88	360780.68	200259.00	0.00	17262097.89	0.00	907361.42	43735.32	227284.87
3263	Órgão de Direção Regional de Partido Político	os órgãos de direção regionais de partido político. qualquer que seja o nome conferido pelo estatuto partidário (comissão provisória. diretório. comitê etc.). com abrangência menor do que o Território Nacional e maior do que o território municipal ou maior do que o território do Distrito Estadual de Fernando de Noronha. São exemplos de órgãos de direção regionais de partido político aqueles com abrangência limitada ao território: a) de uma Região do Brasil (Norte. Sul. Nordeste. Sudeste e Centro- Oeste); b) de um Estado ou do Distrito Federal; c) de uma zona eleitoral. na hipótese desta abranger mais de um município; d) de dois ou mais municípios. inclusive em regiões metropolitanas	0.00	0.00	0.00	0.00	146.90	3335050.78	0.00	0.00	33011.62	221388.36	11011.32	0.00	10121481.54	0.00	379328.09	224434.72	1394099.06
3271	Órgão de Direção Local de Partido Político	os órgãos de direção locais de partidos políticos. qualquer que seja o nome conferido pelo estatuto partidário (comissão provisória. diretório. comitê etc). com abrangência igual ou menor ao território municipal ou igual ou menor ao território do Distrito Estadual de Fernando de Noronha. São exemplos de órgãos de direção locais de partido político aqueles com abrangência limitada ao território: a) de um município ou do Distrito Estadual de Fernando de Noronha; b) de um distrito (divisão administrativa do município); c) de uma Região Administrativa do Distrito Federal; d) de uma zona eleitoral. quando esta abranger parte de um município; e) de um bairro.	0.00	0.00	3.61	0.00	4815.00	373117.43	0.00	0.00	3408.41	18815.73	1125.53	0.00	1405058.56	0.00	58702.65	1918101.79	656433.67
3280	Comitê Financeiro de Partido Político	os comitês financeiros de partidos políticos. entes não dotados de personalidade jurídica. de vida transitória. não integrantes da estrutura interna do partido político. previstos no art. 19 da Lei nº 9.504. de 30/09/1997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	130284.39	0.00	0.00	0.00	13028.42
3301	Organização Social (OS)	as pessoas jurídicas de direito privado. sem fins lucrativos (as associações privadas. as fundações privadas. as fundações públicas de direito privado. e os consórcios públicos de direito privado). desde que tenham sido qualificadas como organização social nos termos da Lei Federal nº 9.637. de 15/05/1998. ou de lei estadual. ou distrital ou municipal	0.00	0.00	0.00	0.00	6589.35	61097408.26	0.00	173.74	1316812.14	1383900.67	233005.33	0.00	50987176.01	0.00	9916811.01	129320.67	207635.43
3328	Plano de Benefícios de Previdência Complementar Fechada	os planos de benefícios. operacionalizados por Entidades Fechadas de Previdência Complementar. autorizados e regulados pela Superintendência Nacional de Previdência Complementar (Previc). conforme Lei Complementar no. 109. de 29 de maio de 2001	0.00	0.00	0.00	0.00	1476.76	8123349.73	81085.38	0.00	209155.56	189705.87	12680.41	0.00	7633248.73	0.00	1409591.66	19362.13	34916.62
3999	Associação Privada	as associações privadas previstas nos artigos 53 a 61 da Lei n. º 10.406. de 10/01/2002 (Código Civil)	9185855.63	319.80	6731177.45	557770.89	135030917.19	11766143168.23	122386489.31	2083418.90	639279023.27	344839839.86	147769511.89	12185985.67	11470788495.65	121.41	1547567401.13	101399270.87	180588702.28
4014	Empresa Individual Imobiliária	as empresas individuais imobiliárias. ou seja. as pessoas físicas que promovem loteamento. desmembramento ou incorporação imobiliários. As empresas individuais imobiliárias são equiparadas às pessoas jurídicas apenas para os efeitos da legislação do Imposto de Renda. Base legal: decreto-lei n.º 5.844. de 23 de setembro de 1943. art. 27; decreto-lei n.º 1.381. de 23 de dezembro de 1974. art. 1º e 3º. inciso III; decreto-lei n.º 1.510. de 27 de dezembro de 1976. art. 10. inciso I; Decreto n.º 3.000. de 26 de março de 1999. art. 146. inciso II. 150. inciso III. e 151 a 166	0.00	0.00	0.00	0.00	6381730.22	54683.09	0.00	0.00	11720198.63	2544966.04	4983444.09	0.00	1673868.88	0.00	422813.22	274762.35	383605.66
4090	Candidato a Cargo Político Eletivo	as pessoas físicas candidatas a cargo político eletivo que são inscritas de ofício no Cadastro Nacional das Pessoas Jurídicas (CNPJ) administrado pela Receita Federal do Brasil. Base legal: Instrução Normativa Conjunta SRF/TSE n. º 183. de 26/07/2002	0.00	0.00	0.00	0.00	0.00	6145.00	0.00	0.00	0.00	0.00	0.00	0.00	24394.48	0.00	11306.93	1369.07	19170.39
4120	Produtor Rural (Pessoa Física)	a pessoa física. não constituída sob a forma de empresário (individual). que realiza profissionalmente. na zona rural ou urbana. atividade rural (agricultura. pecuária. apicultura. avicultura. cunicultura. suinocultura. sericicultura. piscicultura e outras culturas animais. extração e exploração vegetal e animal)	90478.14	0.00	16730.78	0.00	92778.32	64329.63	0.00	19227.95	374929.44	75478.92	65116.86	0.00	1117207.69	0.00	25487.26	35540.57	490816.20
5010	Organização Internacional	as sedes. no Brasil. de organizações internacionais; as representações. no exterior. de organizações internacionais com sede no Brasil; as representações. no Brasil. de organizações internacionais com sedes no Brasil ou no exterior. São exemplos de organizações internacionais: a) o Parlamento Latino-americano (Parlatino); b) a Agência Brasileiro-argentina de Contabilidade e Controle de Materiais Nucleares (ABACC); c) o Mercado Comum do Sul (Mercosul). d) a Comissão Jurídica Interamericana (CJI);  a Organização das Nações Unidas (ONU); o Fundo Monetário Internacional (FMI); o Banco Interamericano de Desenvolvimento (BID); o Banco Internacional de Reconstrução e Desenvolvimento (BIRD); a Organização Internacional do Trabalho (OIT); a União Internacional de Telecomunicações (UIT); a Organização dos Estados Americanos (OEA)	0.00	0.00	0.00	0.00	0.00	40867.76	0.00	0.00	2523.10	45527.22	841.05	0.00	8652454.47	0.00	25533.39	1258.46	1328.01
5029	Representação Diplomática Estrangeira	as embaixadas. os consulados. os escritórios de representação e as demais unidades diplomáticas de governos estrangeiros no Brasil ou em organizações internacionais no Brasil	0.00	0.00	0.00	0.00	0.00	140533.88	0.00	0.00	3719.05	45999.00	1239.68	0.00	60345096.42	0.00	79133.94	7456.83	99100.11
5037	Outras Instituições Extraterritoriais	as agências de notícias. no Brasil. pertencentes às administrações públicas de outros países	0.00	0.00	0.00	0.00	0.00	27031.84	0.00	0.00	0.00	0.00	0.00	0.00	18533.16	0.00	1429.44	0.00	0.00
